dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
algerian_forest_fires,0.9713435374149662,0.9425170068027212,0.9217687074829932,0.9590986394557823,0.9424319727891156,0.9343537414965987,1.1
hayes-roth_clean,0.79375,0.775,0.5,0.525,0.49375,0.725,1.36
Credit_Approval_Classification,0.6709999999999999,0.7329999999999999,0.72,0.728,0.6779999999999999,0.7299999999999999,6.14
company_quality_and_valuation_finance,0.8039627039627041,0.4645687645687646,0.4269910644910645,0.439461926961927,0.29346348096348096,0.5202214452214452,5.99
Creditability-German-Credit-Data,0.683,0.754,0.7340000000000001,0.7590000000000001,0.6529999999999999,0.7140000000000001,6.27
German-Credit-Data-Creditability,0.658,0.7689999999999999,0.704,0.753,0.6839999999999999,0.7300000000000001,3.84
Credit-Risk-Classification-Dataset,0.6888888888888889,0.8,0.7813333333333333,0.7937777777777777,0.6862222222222222,0.7093333333333334,12.2
German-Credit-Data-Creditability-2,0.683,0.754,0.7340000000000001,0.7590000000000001,0.6529999999999999,0.7140000000000001,6.25
total_score,0.6953865578865578,0.6077797202797203,0.605011655011655,0.6049922299922301,0.5410547785547786,0.6439588189588189,5.71
dataset_credit-g,0.6970000000000001,0.7390000000000001,0.718,0.714,0.583,0.7329999999999999,6.17
dataset_credit-approval,0.7985507246376812,0.8608695652173914,0.8594202898550725,0.8594202898550725,0.7971014492753623,0.8376811594202899,5.32
dataset_analcatdata_creditscore,0.97,0.79,0.8,0.8299999999999998,0.8200000000000001,0.8700000000000001,1.11
German-Credit-Data-Creditability-Preprocessed-Dataset,0.687,0.764,0.696,0.756,0.679,0.7269999999999999,6.29
Student_Performance_on_an_Entrance_Examination,0.4624284592077208,0.5059813713387947,0.49698125911794405,0.5059925934238583,0.4879587027269666,0.4969027045225003,5.44
heart-statlog-uci,0.7222222222222221,0.8296296296296297,0.8037037037037036,0.837037037037037,0.8222222222222222,0.8037037037037038,2.26
Thoracic_Surgery_Data,0.7829787234042553,0.851063829787234,0.8382978723404255,0.8297872340425532,0.7468085106382978,0.7936170212765956,3.72
maternal_health_risk,0.8471735843535093,0.7001902160659416,0.6853826269326441,0.6173389260108277,0.5167536458079305,0.6893479003072722,3.72
Cirrhosis_Patient_Survival_Prediction,0.6364027538726333,0.7318703384968446,0.6578886976477338,0.7032128514056224,0.6960126219162365,0.6911646586345381,3.79
Predicting_Risk_Factors_of_Chronic_Kidney_Disease,1.0,1.0,0.975,1.0,0.9949999999999999,1.0,0.64
differentiated_thyroid_cancer_recurrence,0.9138414217361586,0.931989063568011,0.9189678742310321,0.9138072453861927,0.8694463431305536,0.8903280929596719,2.08
mice,1.0,0.9990867579908675,0.9908675799086758,1.0,0.9981735159817351,1.0,2.6
imdb_genre_prediction,0.63875,0.735,0.6775,0.7337499999999999,0.66875,0.7074999999999999,6.37
OSMI_Mental_Health_in_Tech_Survey,0.4473087887722034,0.5129017324139276,0.43193391973879774,0.517087790258522,0.4501059915694062,0.4403157817791964,9.03
diabetes_risk_prediction_dataset,0.9673076923076922,0.9730769230769232,0.9134615384615385,0.9288461538461539,0.8826923076923077,0.9711538461538461,1.8
Dataset-Mental-Disorders,0.7166666666666666,0.8083333333333332,0.725,0.7916666666666667,0.8,0.775,0.74
PostPartum_Depression,0.986704318936877,0.9241683277962347,0.8935658914728682,0.7152535991140642,0.5868084163898117,0.9208438538205981,5.01
QSAR_Bioconcentration_classification,0.5956575682382134,0.6829032258064516,0.6521174524400332,0.6661952026468156,0.5519272125723738,0.6520760959470637,6.67
glioma_grading_clinical_and_mutation_features,0.8104647847162816,0.8664741944682064,0.8283290561733676,0.870045623039635,0.8200242372398062,0.8414741944682064,4.79
hepatitis_c_virus_hcv_for_egyptian_patients,0.2490974729241877,0.2592057761732852,0.251985559566787,0.24620938628158848,0.244043321299639,0.25776173285198556,13.73
bone_marrow_transplant_children,0.9038406827880511,0.8664295874822191,0.6948790896159318,0.9310099573257468,0.9093883357041251,0.8560455192034141,1.18
divorce_prediction,0.9470588235294117,0.9764705882352942,0.9764705882352942,0.9823529411764707,0.9823529411764707,0.9764705882352942,0.8
depression_2020,0.7102858544963808,0.8334511102932156,0.8173549257759785,0.8334511102932156,0.716589375536744,0.7487768371978899,11.54
mental_health_detection,0.2925925925925926,0.4,0.337037037037037,0.3148148148148148,0.23703703703703702,0.4111111111111111,2.81
Fitness_Club,0.7,0.7746666666666666,0.7586666666666667,0.7773333333333333,0.7113333333333334,0.7673333333333334,9.66
Is-this-a-good-customer,0.8015015166835188,0.8862453656892484,0.8694017526120661,0.8856656555443209,0.8049460734748906,0.8496764408493428,12.38
website_phishing,0.8728850621839552,0.8610714773814404,0.8551455514555146,0.8218860188601885,0.7864179308459752,0.8876780101134344,9.66
Accidents_Prediction_Dataset,0.7380000000000001,0.874,0.852,0.874,0.77,0.836,3.68
Accidents_Prediction_Dataset_Pipeline,0.7380000000000001,0.874,0.852,0.874,0.77,0.836,3.68
Accidents_Prediction_Balanced_v3,0.7380000000000001,0.874,0.852,0.874,0.77,0.836,3.56
CanadaFiresD,0.9322641467082668,0.9637718569729075,0.9584094633117101,0.9235370698749747,0.8853471302552132,0.9664698884424592,7.08
