dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
monks-problems-2,0.9916666666666666,0.7154820936639119,0.8634435261707989,0.6406060606060606,0.580564738292011,0.9433884297520662,4.57
monks-problems-3,0.9692874692874692,0.9638984438984439,0.9549058149058149,0.7544471744471745,0.758050778050778,0.9873546273546273,1.98
SPECT,0.7527603074772886,0.8389238294898673,0.7678546470999301,0.8165618448637317,0.794199860237596,0.8165618448637317,1.24
SPECTF,0.8481987577639751,0.8252587991718426,0.7477018633540373,0.8195031055900621,0.7792546583850932,0.8910973084886129,1.97
grub-damage,0.4,0.5290322580645161,0.5290322580645161,0.5483870967741935,0.4580645161290323,0.5032258064516129,1.63
pasture,0.8035714285714285,0.5249999999999999,0.6071428571428571,0.6357142857142857,0.6071428571428571,0.6392857142857142,0.49
aids,0.58,0.52,0.48,0.6399999999999999,0.5599999999999999,0.44000000000000006,1.09
prnn_crabs,0.915,0.9650000000000001,0.9349999999999999,0.985,0.9400000000000001,0.9949999999999999,0.91
analcatdata_lawsuit,0.9810595065312047,0.9621915820029028,0.9584179970972423,0.9584179970972423,0.9582728592162555,0.9621915820029028,0.87
analcatdata_broadwaymult,0.44210526315789467,0.4385964912280701,0.4175438596491228,0.3824561403508772,0.3017543859649123,0.48421052631578937,3.05
analcatdata_halloffame,0.9164179104477611,0.9365671641791045,0.9305970149253732,0.9350746268656718,0.9186567164179105,0.923134328358209,8.55
cars,0.8200843119542306,0.7463414634146341,0.7414031918096958,0.7438422161999398,0.7708220415537488,0.7980728696175851,3.37
analcatdata_authorship,0.9369540715694562,0.9964285714285716,0.9940546632854325,0.9976190476190476,0.9904902789518175,0.994047619047619,1.29
analcatdata_creditscore,0.97,0.8,0.8,0.8299999999999998,0.8600000000000001,0.8700000000000001,1.07
backache,0.7611111111111111,0.8555555555555557,0.85,0.8055555555555557,0.7666666666666667,0.7722222222222221,0.8
analcatdata_cyyoung8092,0.7405263157894737,0.7621052631578947,0.7310526315789474,0.8647368421052631,0.7942105263157895,0.781578947368421,1.13
schizo,0.8294117647058824,0.6058823529411764,0.6235294117647059,0.5705882352941176,0.5294117647058825,0.5823529411764705,3.06
analcatdata_japansolvent,0.7109090909090909,0.8854545454545455,0.7709090909090909,0.8272727272727272,0.7690909090909089,0.8272727272727272,0.79
analcatdata_dmft,0.17069182389937104,0.22461477987421383,0.17943396226415093,0.2220754716981132,0.17058176100628933,0.21829402515723267,4.8
profb,0.6103150912106136,0.6800884466556107,0.6190491984521834,0.6801216141514649,0.6041348811498065,0.623526810392482,4.96
analcatdata_germangss,0.3375,0.20749999999999996,0.2225,0.35750000000000004,0.2975,0.2875,3.26
analcatdata_bankruptcy,0.86,0.7799999999999999,0.7799999999999999,0.86,0.86,0.86,0.85
analcatdata_cyyoung9302,0.8584795321637427,0.8479532163742689,0.8584795321637427,0.8695906432748538,0.8146198830409357,0.8380116959064328,1.19
biomed,0.8754936120789779,0.8948896631823461,0.8807200929152149,0.8804878048780488,0.8563298490127759,0.9186991869918699,1.45
sleuth_ex2016,0.6444444444444445,0.7705882352941176,0.6915032679738562,0.7477124183006536,0.7241830065359477,0.8045751633986928,0.85
sleuth_ex2015,0.6,0.7500000000000001,0.6666666666666666,0.7166666666666667,0.75,0.6166666666666666,1.15
